Year,Amount,Ex Date,Pay Date
2010,0.011,20/1/10,2/2/10
2010,0.019,20/1/10,2/2/10
2010,0.0185,28/7/10,11/8/10
2010,0.0115,28/7/10,11/8/10
2011,0.035,27/1/11,11/2/11
2011,0.045,27/7/11,10/8/11
2012,0.055,1/2/12,14/2/12
2012,0.04,31/7/12,14/8/12
2013,0.04,1/2/13,19/2/13
2013,0.045,15/8/13,28/8/13
2014,0.043,4/2/14,20/2/14
2014,0.045,7/8/14,19/8/14
2015,0.048,30/1/15,17/2/15
2015,0.049,31/7/15,20/8/15
2016,0.005,29/1/16,18/2/16
2016,0.005,29/1/16,18/2/16
2016,0.041,29/1/16,18/2/16
2016,0.042,29/7/16,17/8/16
2017,0.053,2/2/17,20/2/17
2017,0.036,28/7/17,16/8/17
2017,0.012,28/7/17,16/8/17
2018,0.049,1/2/18,20/2/18
2018,0.004,1/2/18,20/2/18
2018,0.035,2/8/18,21/8/18
2018,0.025,2/8/18,21/8/18
2019,0.056,4/2/19,21/2/19
2019,0.055,5/8/19,21/8/19
2019,0.009,5/8/19,21/8/19
2020,0.052,10/2/20,24/2/20
2020,0.004,10/2/20,24/2/20